case_id,sample_id,t,cohort,baseline_status,unet_parent_candidates,unet_daughter_1_candidates,unet_daughter_2_candidates,parent_distance_um,daughter_1_distance_um,daughter_2_distance_um,parent_frame_peak_count,daughter_frame_peak_count,distinct_daughter_pair,complete_triplet,det_threshold,pool_kernel_um,tta,graph_mutated,edges_inferred
DEV-6bba_8b7818bf-t33-p34000238,6bba_8b7818bf,33,baseline_unavailable,no_parent_detection_within_7um,1,1,1,2.368824207280903,2.03125,1.86167137607581,76,76,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_907271db-t96-p97001173,6bba_907271db,96,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,1,0.9084026158592896,3.447145558284419,1.7235727791422095,42,48,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_9e23430b-t89-p90001032,6bba_9e23430b,89,baseline_unavailable,no_parent_detection_within_7um,1,2,1,0.8125,0.40625,3.65625,161,154,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_cdcfe533-t28-p29000464,6bba_cdcfe533,28,positive_control,official_positive,1,1,1,1.8168052317185792,0.9084026158592896,1.284675299443404,268,267,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_cdcfe533-t48-p49000935,6bba_cdcfe533,48,positive_control,official_positive,1,1,1,2.0714766773970688,1.21875,1.86167137607581,277,283,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_cdcfe533-t52-p53001039,6bba_cdcfe533,52,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,2,1.6750116604071745,1.284675299443404,1.1490485194281397,288,285,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_cdcfe533-t86-p87002049,6bba_cdcfe533,86,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,1,1.625,2.03125,1.86167137607581,296,288,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_d2b9fc0c-t72-p73000666,6bba_d2b9fc0c,72,baseline_nonofficial_action,projected_actions_not_official_tp,2,1,1,2.1877232028983924,2.6012692214570947,1.86167137607581,225,224,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_d2b9fc0c-t78-p79000759,6bba_d2b9fc0c,78,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,2,2,1,2.632800908728193,2.0714766773970688,1.7235727791422095,236,232,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_d3da753b-t63-p64000722,6bba_d3da753b,63,baseline_nonofficial_action,projected_actions_not_official_tp,1,1,1,2.1877232028983924,0.40625,1.6750116604071745,123,123,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_debd7bfa-t12-p13000353,6bba_debd7bfa,12,positive_control,official_positive,1,1,1,0.8125,1.8168052317185792,2.0714766773970688,228,222,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_debd7bfa-t26-p27000673,6bba_debd7bfa,26,positive_control,official_positive,2,2,2,1.7235727791422095,5.202538442914189,1.9902104160113323,187,183,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_debd7bfa-t36-p37000853,6bba_debd7bfa,36,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,1,3.374565944310468,3.300390601883359,1.7235727791422095,156,149,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_debd7bfa-t37-p38000863,6bba_debd7bfa,37,positive_control,official_positive,1,1,1,0.9084026158592896,0.5745242597140698,2.0714766773970688,149,154,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_ef7b4f7e-t14-p15000245,6bba_ef7b4f7e,14,baseline_unavailable,no_parent_detection_within_7um,1,1,1,0.9084026158592896,1.7235727791422095,1.4647552056572457,64,63,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_ef7b4f7e-t89-p90001375,6bba_ef7b4f7e,89,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,1,1,1,0.8125,3.25,1.8168052317185792,79,80,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_fc5f39dc-t24-p25000064,6bba_fc5f39dc,24,baseline_unavailable,fewer_than_two_daughter_lineages_within_7um,2,1,1,2.6012692214570947,2.4375,1.6750116604071745,154,147,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_fc5f39dc-t54-p55000245,6bba_fc5f39dc,54,baseline_nonofficial_action,projected_actions_not_official_tp,2,1,0,1.86167137607581,,,222,225,False,False,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_fe670320-t0-p1000014,6bba_fe670320,0,positive_control,official_positive,1,1,1,1.6750116604071745,1.625,1.625,43,39,True,True,0.97,3.0,xy_d4_8_view,False,False
DEV-6bba_fe670320-t66-p67000712,6bba_fe670320,66,positive_control,official_positive,1,1,1,0.9084026158592896,3.5648292823780494,2.4375,170,177,True,True,0.97,3.0,xy_d4_8_view,False,False
